RowID,motion,ind.production,biomass.prod.N,biomass.prod.P,biomass.prod.C,res.inflow,N.types,P.types,C.types,max.res.val,max.growth.rate,max.met.maint,max.active.dispersal,barriers,logseries.a,starting.seed,flow.rate,width,height,viscosity,total.abundance,immigration.rate,resource.tau,particle.tau,individual.tau,resource.concentration,shannons.resource.diversity,resource.richness,species.richness,simpson.e,e.var,berger.parker,inv.simp.D,N.max,skew,tracer.particles,resource.particles,speciation,Whittakers.turnover,Jaccards.dissimilarity,Sorensens.dissimilarity,avg.per.capita.growth,avg.per.capita.maint,avg.per.capita.N.efficiency,avg.per.capita.P.efficiency,avg.per.capita.C.efficiency,avg.per.capita.active.dispersal,amplitude,flux,frequency,phase,disturbance
3,'random_walk',0.5,-0.013175977964073911,-0.015959851980664054,-0.019591120048322756,50,2,10,4,200,0.47182643247644085,0.004193103905899527,0.09976594407119527,0,0.9916331201371543,100,0.5,20,5,10,3,0.5,1.4574934471708441,10.200229716732393,10.569307143661419,0.21080000000000002,1.9723092999999998,9.5700000000000003,2.77,0.89991200000000038,0.90544868815459256,0.64439242974735622,0.48374430039221766,4.1299999999999999,0.071227496310607388,9,45,0.05,0.043482443482443484,0.067171717171717174,0.043482443482443491,0.28615923714448788,0.0022154152566101811,0.57148994874190573,0.54543526586742885,0.4290457767515457,0.061320457543971238,0.3,'yes',0.1,7,5e-05
4,'fluid',31.460000000000001,2.3988165713632679,1.0894241669508518,1.623354004904753,500,9,10,2,800,0.6814039254657722,0.007261373408235619,0.3581585640872895,1,0.9961593191198858,100,0.59999999999999998,160,20,10,6599,0.5,33.138457430872037,66.630156828335743,108.12138061373459,1.4778718750000002,2.82586089,21.0,12.65,0.248552,0.082293123868306353,0.48111421145168826,0.66226383292400415,3955.7199999999998,1.9956039108847523,82,5753,0.001,0.013356671392813131,0.025402475981798615,0.013356671392813138,0.58236980926033666,0.0025643212777037038,0.47104040297054384,0.46774984849553697,0.52685273691911683,0.29181179748094976,0.5,'yes',0.02,5,1e-05
6,'random_walk',1.23,-0.12828810516482878,-0.13280567593534065,-0.12807319319745342,400,1,8,3,100,0.38915166669345114,0.002419175226418849,0.10288285713292031,3,0.990498605910262,100,0.90000000000000002,80,40,10,68,0.5,1.1558173965123935,39.704624565864044,25.911682286590757,0.059387499999999989,2.0524291099999998,11.25,9.8100000000000005,0.58323200000000008,0.59335012024826217,0.31925088108221883,0.79488749602078002,17.43,1.1515091036959288,78,0,0.0075,0.02213707816785394,0.04038612902249266,0.022137078167853954,0.27493980562733922,0.0014598628616639747,0.59568429496678621,0.59419833024663615,0.57744911932221255,0.051043041008360913,0.1,'yes',0.06,11,5e-05
14,'random_walk',0.25,0.011294068873136998,0.01670245540172827,-0.0017445241400663595,200,10,7,3,200,0.7506162868008831,0.00442966218044885,0.09214193746703576,4,0.9902256749240911,100,0.5,10,20,10,4,0.05,1.0224706237065848,20.900723277464053,17.965483483445187,0.26200000000000001,2.4326832200000004,15.09,0.69281045751633985,1.0,1.0,0.99301281196588209,0.0,7.9433962264150946,0.0,2,14,0.05,0.0,0.0,0.0,0.60815117101109006,0.00090564107180889693,0.48922748084901435,0.43105153803617718,0.19420965321249697,0.043766270777500053,0.1,'yes',0.1,15,0.1
17,'fluid',64.840000000000003,6.1143156267229077,6.2287700409426066,5.5086476956949229,500,5,2,8,800,0.61783640717366,0.005954622417426918,0.11118149740288491,1,0.9977098387862604,100,0.40000000000000002,80,5,10,4493,0.05,14.421331753414115,73.727551398413922,113.39519862319452,6.3136999999999999,2.54726359,15.0,9.7599999999999998,0.33585199999999998,0.13917576683642965,0.43398684538237053,0.66542373713270597,2615.9299999999998,1.1337258136595778,35,3975,0.005,0.006398339472029663,0.012064843125449186,0.0063983394720296656,0.50735602339743258,0.0012914033154572192,0.55084195351777021,0.49249836265814567,0.5229234107166757,0.091628563748730851,0.05,'yes',0.04,7,0.01
18,'random_walk',0.10000000000000001,-0.012380949320463215,-0.0095621440862734604,-0.012509116095077806,400,3,4,1,400,0.7292261267441872,0.002579349946890977,0.493057110697416,1,0.9947413931343483,100,0.80000000000000004,10,10,10,7,0.1,0.12389824781672967,9.4090315767419188,12.281904422283642,0.20439999999999994,1.4579657099999996,5.6900000000000004,2.1699999999999999,0.90415000000000001,0.91290124030034814,0.64720554445554446,0.44319415898151221,4.2400000000000002,0.03613204134969257,9,24,0.05,0.016835016835016831,0.026936026936026938,0.016835016835016835,0.33686301473181518,0.0015255049403312257,0.39999563112333564,0.52520789670908996,0.74016451426454177,0.29642874378229894,0.4,'yes',0.06,13,0.001
20,'random_walk',1.1499999999999999,0.072105130555795705,0.12270119864419524,0.081539493736005178,400,1,4,8,3200,0.5709017722351749,0.0011477334072494713,0.34520063477170904,2,0.9925715655218572,100,1.0,40,40,10,158,0.01,0.70419394645944644,23.799357366031458,36.506272163135165,0.09171874999999996,2.1420528700000001,12.19,3.4199999999999999,0.50464599999999993,0.43823251463095531,0.85188035067144607,0.21704748407509164,80.620000000000005,0.86624864269713586,28,245,0.01,0.010197210197210196,0.017003367003367003,0.0101972101972102,0.44469752769148208,0.000203310968908186,0.57422101153363447,0.64171402289434143,0.42349489083261732,0.19737477759493186,0.1,'yes',0.02,16,0.005
24,'fluid',1.0600000000000001,-0.032399575035818966,-0.020567362229301417,-0.023335207588863802,100,8,6,9,200,0.18037363675362,0.0028829144859429173,0.7349948086906678,3,0.9906050092850152,100,0.80000000000000004,10,40,10,25,0.5,7.2116003854448705,8.1162249950580883,23.656834024064395,0.71494999999999986,3.0813029600000004,23.0,9.9199999999999999,0.6803530000000001,0.71669156920021038,0.24749227035087226,0.84666965678134343,7.2400000000000002,0.90430209235730774,6,282,0.075,0.026024238047390562,0.048626906202663786,0.026024238047390569,0.08960258568221445,0.0014172368930984245,0.49769950183967376,0.49328125220073621,0.53617807686467633,0.4866034950134886,0.1,'yes',0.06,3,0.0001
25,'fluid',-0.11,-0.039710526100417233,-0.029000848237495359,-0.035647705696060773,200,8,3,6,400,0.1701267227433269,0.006437636986953716,0.5386983361688557,0,0.9927522975517459,100,0.20000000000000001,40,20,10,5,0.5,54.498673543728984,57.990897717512233,29.557381575660493,2.2168249999999996,2.7571852799999998,17.0,1.9689119170984455,0.86603548387096752,0.87775024513565736,0.78170103492684095,0.31954804734246611,3.2580645161290325,0.13312361263710165,15,1833,0.01,0.050793650793650787,0.068297101449275366,0.050793650793650787,0.055876125273965856,0.0036048211245932036,0.4972525097609915,0.41582386631920498,0.55881993164576182,0.24840403270986169,0.5,'yes',0.04,9,1e-05
26,'fluid',8.3100000000000005,1.5242481391062968,1.567872756255354,1.3330198976738139,500,9,7,4,100,0.5053845479184836,0.009385119229041658,0.8313156169819937,4,0.9938716109313896,100,0.10000000000000001,20,5,10,830,0.5,58.747388715789093,91.576270836519981,171.91177579330065,11.614599999999998,2.9391184899999998,20.0,2.1400000000000001,0.47996399999999989,0.0758350393556258,0.99190158676928153,0.006956071331521211,915.64999999999998,0.098994220055999574,11,1141,0.0075,0.012121212121212118,0.020202020202020204,0.012121212121212118,0.47510030629427796,0.0035344704713211818,0.39277690051874437,0.58410744268460046,0.35210596954463041,0.66204534480761779,0.5,'yes',0.04,11,0.1
