RowID, motion, ind.production, biomass.prod.N, biomass.prod.P, biomass.prod.C, res.inflow, N.types, P.types, C.types, max.res.val, max.growth.rate, max.met.maint, max.active.dispersal, barriers, logseries.a, starting.seed, flow.rate, width, height, viscosity, total.abundance, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, species.richness, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, tracer.particles, resource.particles, speciation, Whittakers.turnover, Jaccards.dissimilarity, Sorensens.dissimilarity, avg.per.capita.growth, avg.per.capita.maint, avg.per.capita.N.efficiency, avg.per.capita.P.efficiency, avg.per.capita.C.efficiency, avg.per.capita.active.dispersal, amplitude, flux, frequency, phase, disturbance
1, 'fluid', 7.0, 1.1315278033193579, 0.46059003270607235, 1.6586074957817942, 600, 7, 9, 5, 100000, 0.1, 0.002, 0.04, 1, 0.9901675431274731, 100, 0.10000000000000001, 20, 7, 10, 791, 0.0, 14.398544640358242, 45.25, 80.965807469437209, 4.7642857142857142, 3.0131352520241892, 21.0, 12.5, 0.39829999999999999, 0.31333101579146627, 0.18710493046776233, 0.79890754299421474, 300.0, 2.2360192867911888, 9, 729, 'yes', 0.040000000000000036, 0.076923076923076872, 0.040000000000000036, 0.10012776709919984, 0.001542211618245277, 0.52312557628990086, 0.50089566519349138, 0.62205089731846563, 0.022618652784957387, 0.4, 'yes', 0.02, 2, 0.0001
2, 'fluid', 0.0, 0.0, 0.0, 0.0, 200, 1, 9, 10, 40000, 0.2, 0.0008, 0.08, 1, 0.9948740725978137, 100, 0.0050000000000000001, 10, 8, 10, 0, 0.005, 26.5, nan, 47.326530612244895, 0.78125, 2.5073060011395585, 17.0, 0.0, nan, nan, nan, nan, nan, nan, 1, 63, 'yes', nan, nan, nan, 0.10012776709919984, 0.001542211618245277, 0.52312557628990086, 0.50089566519349138, 0.62205089731846563, 0.022618652784957387, 0.4, 'yes', 0.02, 10, 0.0001
3, 'fluid', 42.0, 3.6034501141738247, 5.5870229700058189, 8.7785819195013062, 1000, 6, 1, 9, 10000, 0.2, 0.0008, 0.1, 1, 0.9963241818580864, 100, 0.20000000000000001, 20, 9, 10, 1641, 0.0005, 18.271551098095642, 32.777777777777779, 82.290859315789902, 14.338888888888889, 2.4327759330128469, 16.0, 9.5, 0.36244999999999999, 0.14536926277006201, 0.21358927483241927, 0.70436253563191287, 739.0, 1.2022935416497762, 4, 2636, 'yes', 0.052631578947368363, 0.099999999999999978, 0.052631578947368474, 0.13177411084706772, 0.0011920423643750017, 0.5386704006956089, 0.57516556460079737, 0.58209960085627377, 0.052027385085351818, 0.05, 'yes', 0.02, 5, 0.0001
4, 'fluid', 0.5, -0.012059198032282392, -0.021381884912754501, -0.19151614713197596, 200, 9, 9, 1, 10000, 0.4, 0.0002, 0.06, 1, 0.9989072601915694, 100, 0.01, 10, 5, 10, 52, 0.0005, 15.278688524590164, nan, 79.580823224751256, 0.87, 2.4577811756402292, 16.0, 6.0, 0.61535000000000006, 0.40219356826639346, 0.23076923076923078, 0.72641126086638907, 23.0, 0.34919827310127233, 1, 46, 'yes', 0.0, 0.0, 0.0, 0.18937434087533145, 0.0009876548285832642, 0.54074832736956446, 0.55402900549880074, 0.58326057524147312, 0.039886074754030949, 0.05, 'yes', 0.02, 9, 0.0001
5, 'fluid', 3.0, -0.37197903682244338, 0.39617870034915903, -0.17238349450280488, 200, 9, 7, 5, 100000, 0.4, 0.0006, 0.06, 1, 0.9981948303230398, 100, 0.02, 10, 10, 10, 147, 0.0005, 45.410204081632656, nan, 79.842666666666659, 1.0350000000000001, 2.9065668517774133, 21.0, 4.0, 0.84915000000000007, 0.88406589967030169, 0.18027210884353742, 0.7055680187968818, 55.5, 0.29813637648135716, 3, 105, 'yes', 0.0, 0.0, 0.0, 0.22431568092621429, 0.00095218852259037546, 0.53400293347795103, 0.51694515841115618, 0.57011719727565824, 0.039398429984062025, 0.2, 'yes', 0.08, 5, 0.0001
6, 'fluid', 20.0, -1.6347932191220735, 2.1753642454511777, 1.537282613988161, 400, 10, 2, 5, 80000, 0.4, 0.0006, 0.01, 1, 0.998123380342658, 100, 0.10000000000000001, 20, 10, 10, 1301, 0.001, 10.656300104860804, 43.0, 82.328120759666703, 1.6099999999999999, 2.5986208140509723, 17.0, 20.5, 0.42325000000000002, 0.23983512150488662, 0.10607225211375865, 0.88458427021358621, 287.0, 1.440213437467901, 9, 329, 'yes', 0.024390243902439046, 0.047619047619047672, 0.024390243902439046, 0.24747328993850037, 0.00092782377771138762, 0.54487458708517411, 0.52208246739371522, 0.55744897230270696, 0.03251932473272074, 0.3, 'yes', 0.02, 3, 0.0001
7, 'fluid', 0.0, 0.0, 0.0, 0.0, 200, 10, 5, 3, 100000, 0.8, 0.0004, 0.01, 1, 0.993381075706849, 100, 0.40000000000000002, 15, 5, 10, 0, 0.0001, 13.479909907240021, 19.875, 23.789042117033173, 10.173333333333334, 2.7312968401992261, 18.0, 0.0, nan, nan, nan, nan, nan, nan, 7, 797, 'yes', nan, nan, nan, 0.24747328993850037, 0.00092782377771138762, 0.54487458708517411, 0.52208246739371522, 0.55744897230270696, 0.03251932473272074, 0.4, 'yes', 0.04, 9, 0.0001
8, 'fluid', 0.5, 0.0016972574436523724, -0.0014814733779245914, 0.0049781995864550677, 800, 8, 3, 10, 20000, 0.2, 0.0002, 0.06, 1, 0.9927295252749178, 100, 0.80000000000000004, 10, 10, 10, 0, 0.001, 5.8194492370973023, 5.9308823529411772, 7.2617619383674423, 24.285, 2.923594323338695, 21.0, 0.5, 1.0, 1.0, 0.0, 0.0, 3.0, 0.0, 2, 2417, 'yes', nan, nan, nan, 0.24141055952135443, 0.0009388814361959173, 0.54111511305702087, 0.53162878230997956, 0.5551243974329112, 0.031302111236844905, 0.3, 'yes', 0.02, 2, 0.0001
9, 'fluid', 0.0, 0.0, 0.0, 0.0, 200, 9, 2, 5, 100000, 0.8, 0.002, 0.01, 1, 0.9922085574878592, 100, 0.5, 20, 5, 10, 0, 0.0, 15.22991581264651, 17.774999999999999, 24.55242105263158, 9.9299999999999997, 2.629550556654328, 16.0, 0.0, nan, nan, nan, nan, nan, nan, 7, 1026, 'yes', nan, nan, nan, 0.24141055952135443, 0.0009388814361959173, 0.54111511305702087, 0.53162878230997956, 0.5551243974329112, 0.031302111236844905, 0.4, 'yes', 0.08, 3, 0.0001
10, 'fluid', 0.0, 0.0, 0.0, 0.0, 400, 8, 6, 9, 40000, 0.4, 0.0004, 0.02, 1, 0.9957233881363868, 100, 1.0, 15, 6, 10, 0, 0.0005, 7.0918686105651698, 7.4764492753623184, 9.5984703632887189, 16.0, 3.1120998997629776, 23.0, 0.0, nan, nan, nan, nan, nan, nan, 7, 1453, 'yes', nan, nan, nan, 0.24141055952135443, 0.0009388814361959173, 0.54111511305702087, 0.53162878230997956, 0.5551243974329112, 0.031302111236844905, 0.05, 'yes', 0.1, 10, 0.0001
